citation,year,dataset,problem,forward_physics,properties_predicted,uncertainty_considered,forward_model_mismatch_considered,property_specific_resolvability_considered,field_validation,blind_wells,main_contribution,limitations,difference_from_proposed_research
"Corrales M., Hoteit L., Ravasi M. (2024). Seis2Rock: A Data-Driven Approach to Direct Petrophysical Inversion of Pre-Stack Seismic Data. Earth and Space Science 11, e2023EA003301. DOI:10.1029/2023EA003301 (arXiv:2307.07969)",2024,Smeaheia synthetic,Direct petrophysical inversion from prestack AVO,"SVD-derived optimal basis of Zoeppritz reflectivity (linear, background-subtracted)",phi/Vsh/Sw,No,No,No,No,No,"Physics-derived optimal linear basis needs only 1 well to define projection; band-limited regularized post-stack-style inversion of petrophysical reflectivities","Linear/SVD-truncated; single synthetic case; no uncertainty; matched forward physics (inverse crime by construction since basis is derived from the same Zoeppritz generator)","This is the direct baseline our RW-PGNN work already benchmarks against. No uncertainty, no resolvability framing, no field test."
"Das V., Mukerji T. (2020). Petrophysical properties prediction from pre-stack seismic data using convolutional neural networks (PetroNet). Geophysics 85(5), N41-N55. DOI:10.1190/geo2019-0650.1",2020,Synthetic + field (Netherlands F3-type or similar; check original paper for exact field),Direct + cascaded (elastic-then-petrophysical) CNN inversion,"None explicit in end-to-end PetroNet; physics only in cascaded ElasticNet/ElasticPetroNet split",phi/Vsh/Sw (properties vary by dataset),"Yes - MC Dropout (epistemic only)",No,No,Not confirmed from search alone (verify against original paper),Not confirmed from search alone,"Established that direct end-to-end CNNs can outperform physics-constrained cascades in-distribution; introduced MC Dropout for epistemic UQ in this problem class","Authors themselves note MC Dropout underestimates true uncertainty; aleatoric uncertainty not modeled; no explicit resolvability analysis","Existing notebooks already use this as a comparison baseline (PetroNet/Cascaded). No forward-model-mismatch or resolvability analysis in the original paper."
"Vashisth D., Mukerji T. (2022). Direct Estimation of Porosity from Seismic Data using Rock and Wave Physics Informed Neural Networks (RW-PINN). The Leading Edge 41(12), 840-846. DOI:10.1190/tle41120840.1 (arXiv:2210.00042)",2022,Synthetic (uncemented sand rock physics model) + limited real wells,Weakly-supervised direct porosity estimation from few wells,"Uncemented-sand rock physics model + NORMAL-INCIDENCE (poststack, not angle-dependent) wave physics",phi ONLY,No,No,No,Partial (weak/limited wells used as supervision; not a held-out blind-well test framed as validation),No formal blind-well protocol reported in the abstract-level description,"Coined the 'rock- and wave-physics-informed neural network' (RW-PINN) paradigm: few-well weak supervision + physics-consistency loss for direct petrophysical estimation","Single property (porosity only); normal-incidence (no AVA/angle information); non-uniqueness handled only via weighted NRMSE loss, not distributional UQ","CRITICAL OVERLAP: this paper already establishes the RW-PINN/RW-PGNN naming and paradigm (rock+wave physics informed NN, few-well weak supervision). Our RW-PGNN differs in (a) multi-property (phi,Vsh,Sw) vs porosity-only, (b) full prestack AVA/exact Zoeppritz forward model vs normal-incidence, (c) well-count scaling + spatially-buffered leakage-aware validation. These are the ONLY defensible differences from this direct precedent and must be stated explicitly, not implied as new."
"Li P., Liu M., Alfarraj M., Tahmasebi P., Grana D. (2024). Probabilistic physics-informed neural network for seismic petrophysical inversion (P-PINN). Geophysics 89(2), M17-M32. DOI:10.1190/geo2023-0214.1",2024,Synthetic + North Sea field (poststack and prestack),Probabilistic physics-informed petrophysical inversion,"PINN with a reparameterization network + rock-physics-model hyperparameter estimation network","Petrophysical properties (paper predicts porosity/lithology-type properties; verify exact list against full text)","Yes - Approximate Bayesian Computation (ABC) for model/parameter uncertainty",Partial (rock-physics hyperparameter uncertainty is estimated, which is one source of forward-model uncertainty),Not explicitly framed as resolvability,Yes - North Sea field dataset,Not confirmed whether formal held-out blind well used (verify against full text),"First PINN for seismic petrophysical inversion with an explicit probabilistic/ABC treatment of rock-physics-model uncertainty, validated on field data","ABC does not directly separate aleatoric vs epistemic uncertainty in the reservoir-property predictions themselves; no explicit calibration/reliability-diagram analysis reported in available abstract; no explicit multi-uncertainty-source degradation study","MAJOR OVERLAP with proposed Objective 3/Paper 2: 'probabilistic physics-guided petrophysical inversion with uncertainty' already exists, published in Geophysics, WITH field validation (which our existing RW-PGNN work lacks entirely). Our contribution must be narrower: property-specific resolvability tied explicitly to AVA information degradation, calibration diagnostics (coverage, CRPS, confident-error rate), and controlled multi-source uncertainty stress-testing (velocity/RMO, wavelet, amplitude/noise) rather than only rock-physics-hyperparameter uncertainty."
"Li P., Grana D., Liu M. (2024). Bayesian neural network and Bayesian physics-informed neural network via variational inference for seismic petrophysical inversion (BPINN-VI). Geophysics 89(6), M185-M196. DOI:10.1190/geo2023-0737.1",2024,Synthetic prestack + North Sea field (oil-saturated clastic reservoir),Variational-inference Bayesian PINN for petrophysical inversion,"Physics-dependent loss term embedding petrophysical-to-seismic relations",Petrophysical properties (verify exact list against full text),"Yes - variational inference (weight-space posterior over the network)",Not explicitly the focus,Not explicitly framed as resolvability,Yes - North Sea field dataset,Not confirmed (verify against full text),"Demonstrates BPINN-VI outperforms plain BNN-VI (higher R^2/correlation, lower uncertainty, better lateral continuity) on both synthetic and field prestack data","VI posteriors are known to underestimate multimodality/tail uncertainty relative to full MCMC or ensembles; no explicit forward-model-mismatch stress test reported","Same overlap concern as the P-PINN paper above (same lead authors, same general problem): a published, field-validated, uncertainty-aware physics-guided seismic petrophysical inversion method already exists. Differentiate on resolvability framing and controlled uncertainty-source degradation, not on 'probabilistic PGNN' alone."
"Wu S., Wang Y., Li Q., He Z., Geng J. (2024). Joint data-driven and physics-driven prestack amplitude-variation-with-angle elastic parameter inversion. Geophysics 89(1), 17-32. DOI:10.1190/geo2023-0135.1",2024,Synthetic + field (verify),Joint physics-constrained + automatic-differentiation AVA elastic inversion,"Physics-constrained NN (PCNN) and automatic-differentiation-based forward AVA modeling",Elastic parameters (Vp/Vs/rho or Ip/Is-type; NOT direct petrophysical phi/Vsh/Sw - verify),No explicit UQ reported in search snippet (verify),Not explicitly the focus,Not explicitly the focus,Verify,Verify,"Introduces two complementary deep-learning AVA elastic inversion routes (physics-constrained network vs. autodiff-based) and compares them","Targets elastic properties, not direct petrophysical properties; no explicit resolvability or uncertainty-calibration study reported","Adjacent but not directly overlapping: elastic-domain AVA inversion, not multi-property petrophysical inversion with UQ. Relevant as a forward-operator/architecture reference for our Objective 3, not a competing claim to novelty."
"Auestad et al. (2025). A Practical and Efficient Approach for Bayesian Seismic AVO Inversion: Insights from the Alvheim Field. Geophysical Prospecting. DOI: verify at onlinelibrary.wiley.com/doi/10.1111/1365-2478.70108",2025,Field (Alvheim, North Sea),Practical/efficient Bayesian AVO inversion workflow,"Linearized AVO (Aki-Richards/Shuey-type) with Bayesian posterior over elastic parameters",Elastic parameters (Vp/Vs/rho); not phi/Vsh/Sw directly (verify),Yes - Bayesian posterior,Not explicitly the focus,Not explicitly the focus,Yes - Alvheim field,Verify,"Demonstrates a computationally practical Bayesian AVO workflow validated on a real North Sea field","Elastic-domain, not reservoir-property domain; practicality-focused rather than resolvability-focused","Relevant as a field-validated Bayesian AVO precedent and as a candidate baseline/reference for what a 'practical' probabilistic workflow should look like; not a direct competitor to the petrophysical resolvability question."
"Sarkar D., Baumel R.T., Larner K.L. (2002). Velocity analysis in the presence of amplitude variation. Geophysics 67(5), 1664-1672. DOI:10.1190/1.1512814",2002,Synthetic + field examples,Velocity analysis biased by AVO,"Shuey-parameterized (intercept/gradient) semblance velocity analysis",N/A (velocity/AVO-parameter estimation, not reservoir properties),No,No,No,Yes (field examples in original paper),No,"Shows AVO gradient errors from velocity/moveout error are proportional to sin^2(theta) and to the time-derivative of the zero-offset trace; velocity errors as small as ~0.2% measurably distort AVO gradient","Addresses gradient distortion from velocity error at the AVO-attribute level, not property-resolvability or petrophysical inversion","Directly supports (and should anchor) Objective 2A / 'Study A': the physical mechanism by which velocity/RMO error couples into Shuey gradient error. Our contribution, if any, must be the propagation of this into property-specific resolvability loss, which this paper does not do."
"Kennedy M.C., O'Hagan A. (2001). Bayesian calibration of computer models. Journal of the Royal Statistical Society: Series B 63(3), 425-464.",2001,General (statistics/computer-model calibration methodology paper),Statistical framework for model discrepancy,"General: y(x) = eta(x,theta) + delta(x) + epsilon, with delta(x) a Gaussian-process model-form discrepancy",N/A (general statistical methodology),Yes (this IS the foundational discrepancy-modeling framework),Yes (this is the origin of 'forward-model mismatch' as a formal statistical object),No,N/A,N/A,"Established the standard statistical treatment of the gap between an imperfect simulator/forward model and reality","Not geophysics-specific; direct GP-discrepancy modeling does not scale trivially to the high-dimensional, structured (per-angle, per-depth) seismic forward-modeling setting","Foundational reference for how to FORMALIZE 'forward-model mismatch' (F != F_hat) in Objective 3, rather than treating it only informally as in the existing RW-PGNN notebooks."
"Roberts D.R. et al. (2017). Cross-validation strategies for data with temporal, spatial, hierarchical, or phylogenetic structure. Ecography 40(8), 913-929.",2017,General (ecological/spatial statistics methodology),Spatial autocorrelation bias in cross-validation,N/A,N/A,No,No,No,N/A,N/A,"Establishes buffered/blocked spatial cross-validation as the correct way to avoid leakage-inflated performance under spatial autocorrelation","Not geophysics-specific",Already adopted correctly in the existing GEOP592_RWPGNN_FINAL notebook (Part 2.8 buffered well-count sweep) and in the Seis2Rock_ML_audit notebook (Part 2.6 buffered K-fold). No further novelty claim needed here - this is good existing practice to preserve, not a gap.
